filename,AlkylationReagent,CellLine,CellType,CleavageAgent,Compound,Disease,EnrichmentMethod,MaterialType,Modification,Organism,OrganismPart,ReductionReagent,SpikedCompound,Staining,Strain
MSV000078777.txt,iodoacetamide,"RKO, A431",,trypsin,"H 2 O 2 500 μM, EGF 100 ng/mL",,streptavidin sepharose,"cells, cell line","S-sulfenylation, S-sulfenylcysteine tagged with DYn-2-triazohexanoic acid group, DTH, carbamidomethyl, heavy DTH modification on cysteine, DTH- d 6",human,,"dithiothreitol, DTT",,,
MSV000078831.txt,iodoacetamide,HEK-293 cells overexpressing TrkB receptor (HEK-TrkB),,trypsin,BDNF 25 ng/mL,,"alkyne resin-based isolation of l -azidohomoalanine (AHA)-labeled proteins, Click-iT Protein Enrichment Kit, BONCAT","cells, cell line","Carbamidomethylation of cysteine, oxidation of methionine, protein N-terminal acetylation, AHA, l -2,4-diaminobutanoate",Homo sapiens,,DTT,,,
MSV000078911.txt,iodoacetamide,"231-BR, MDA-MB-231",,"trypsin, Lys-C endoproteinase",,"brain metastatic breast cancer, breast cancer",Membrane proteins were enriched,"cells, cell line","S-carbamidomethylation of cysteine residues, protein N-terminal acetylation, N-terminal glutamine conversion to pyroglutamate, methionine oxidation, 13C6-labeled lysine",human,,dithiotreitol,,,
MSV000078985.txt,carbamidomethylation,,,trypsin,,"amyloid, breast cancer, malignant medulloblastoma",,tissue,"mono- and di-methylation (nTerm and Lys), single and double oxidation (Met and Pro), variable carbamidomethylation (nTerm and Cys), oxidation",human,"amyloid tissue, breast tissue, breast cancer FFPE sample, malignant medulloblastoma",,,,
MSV000079014.txt,"chloroacetamide, iodoacetamide","KG-1, MDS-L",,"trypsin, LysC","lenalidomide 1 μM, lenalidomide 10 μM, DMSO",myelodysplastic syndrome (MDS) with deletion of chromosome 5q (del(5q)),"K-ε-GG enrichment, anti-K-ε-GG antibody, immunoaffinity purification",cell line,"K-ε-GG, Oxidized methionine, N-terminal protein acetylation, carbamidomethylation of cysteine, Gly-Gly addition to lysine",Homo sapiens,,dithiothreitol,,,
MSV000079097.txt,iodoacetamide,Jurkat E6-1 cells (ATCC),,trypsin,"MG-132 2 μm, MG132 5 μm, PR-619 5 μm, dimethyl sulfoxide (DMSO) 0.5%",,"anti-K-ε-GG antibody, K-ε-GG enrichment","cells, cell line","Oxidized methionines, Gly-Gly addition to lysines, N-terminal protein acetylation, Carbamidomethylation of cysteines",Homo sapiens,,"dithiothreitol, DTT",,,
MSV000079399.txt,iodoacetamide,"HEK-293 cells (CRL-1573, ATCC)",,trypsin gold,"ethanol (vehicle control, 0.08% v/v), HNE 10 μm, HNE 50 μm",,"affinity purification-mass spectrometry (AP-MS), co-immunoprecipitation (co-IP), immunopurified","cells, cell line","carbimidomethyl modification on Cys, oxidation on Met, pyro-glu on Gln",Homo sapiens,,"DTT, dithiothreitol (DTT)","labeled reference peptide (LRP), heavy isotope labeled analog of each target peptide",Simply Blue safe stain,
MSV000079514.txt,IAA,,hematopoietic cells,trypsin,,,,"tissue, cells","Carbamidomethylation of cysteine, oxidation of methionine, acetylation of protein N-termini, cyclization of N-terminal glutamine",human,"organs, tissues",DTT,,,
MSV000079525.txt,carbamidomethylation,HEK293 T-REx,,trypsin,"EGF 10 ng/ml, anisomycin 10 μm",,"immunoprecipitation, IP, immobilized anti-flag M2 beads",cell line,"N-terminal acetylation, methionine oxidation, phospho-serine, phospho-threonine, phospho-tyrosine, Gly-Gly addition to lysine",Homo sapiens,,,,,
MSV000079526.txt,,HEK293,,,,,"affinity purification, AP, pulldown",cells,"oxidation on methionine (M+15.995), N-term acetylation (+42.011), N-term Carbamylation (+43.006), Pyro-glu on glutamine (−17.027Q), deamidation on aspargine (N+0.984), deamidation on glutamine (Q+0.984), Carbamidomethylation, SILAC variable modifications of +8.0142 on Lysine and +10.0083 on Arginine",human,,,,,
